Date,Screen Name,Tweet Text,Tweet ID,Followers,Retweets,Favorites,Verfied,Location,Polarity,Outcome
8/5/16,@ms5ft9,Why am I up ?,7.30E+17,159,0,0,No,NYC,0,Rise
8/5/16,@Ruifsu__Baegnu,NEW 8.5 X 18 Enclosed Tail Gate BBQ Bar-B-Q Competition Food Concession Trailer - Bid Now!_—_ https://t.co/7ied5sX8FV https://t.co/d4BPejvqpM,7.30E+17,72,0,0,No,"New York, USA",-5,Rise
8/5/16,@MetaverseCoffee,Metaverse #Coffee : _™çµ_™ç© _™–_ Mon macchiato & ma lecture du moment. #anticaferepublique#anticafeparis#coworkingspace#mon_—_ https://t.co/ZWwY9ZHfyp,7.30E+17,599,0,0,No,"Manhattan, NY",-5,Rise
8/5/16,@MarileeHilde,(video) Webcam Nerdy Girl https://t.co/PMVPKWor1M #nerdyFuck #teenpics #nsfw #pornpics https://t.co/hidJMGqEVh https://t.co/ZriI7SWPdz,7.30E+17,403,0,0,No,"Bronx, NY",0,Rise
8/5/16,@Xoenpo__Zeewye,NWT La Vie Parisienne/Catherine Popesco Gold Multi-Strand Beaded Bracelet 1745G - Bid Now!_—_ https://t.co/p8zM2dISCi https://t.co/zdYCf1dL8S,7.30E+17,47,0,0,No,"New York, USA",-5,Rise
8/5/16,@Huudxi__Xaohno,DFS Dark And Light Brown Large Corner Sofa + 9 Pillows Low Back Martinez - Bid Now! Only $_—_ https://t.co/NhHEE6hgdY https://t.co/X9WBVdADXC,7.30E+17,431,0,0,No,New York,5,Rise
8/5/16,@DynastyTheKing,All i want is you! _™__†_ã´Ùè†_È´Ùè_™_ê_™_µ @ EastNY Brooklyn https://t.co/r9Rk6ldSxf,7.30E+17,14106,0,0,No,"New York, NY",10,Rise
8/5/16,@Kaefxo__Baustu,3 Meter Mini DisplayPort to HDMI Cable for MacBook Pro 15inch Dell XPS 17 15 14 - Bid Now!_—_ https://t.co/dBVEdLSSYr https://t.co/ZcFVFEq6bX,7.30E+17,49,0,0,No,"New York, USA",5,Rise
8/5/16,@gpswatchreview1,Garmin Vivoactive - one of the best GPS watches around no matter what your #sport. Check out our #review! https://t.co/VoPXMXlRDW #runchat,7.30E+17,86,0,1,No,"New York, USA",10,Rise
8/5/16,@Huudxi__Xaohno,SAILOR DRESS ALPACA JACKET NORWEGIAN NAVY STYLE - KAWAII MORI GIRL ala LIZ LISA - Bid Now!_—_ https://t.co/kHX40cJHPX https://t.co/Xa6I020gF7,7.30E+17,431,0,0,No,New York,0,Rise
8/5/16,@Noijmu__Veevfe,4PCS Little Red Riding Hood Finger Puppets Christmas Gifts Baby Educational Toys - Bid Now_—_ https://t.co/0IS5yBL9Ea https://t.co/G8VxMkWLp3,7.30E+17,86,0,0,No,"New York, USA",-15,Rise
8/5/16,@kendra9jones,"... https://t.co/Cj6Ao0yjwg #asianteen, #asiangirl, #porn, #nsfw, #sex, #asian https://t.co/PxTVsulzvq",7.30E+17,466,0,1,No,"New York, NY",0,Rise
8/5/16,@emilygo51594665,RT @safoniamoore: https://t.co/eYj2d0XyHN Sweatproof #sports #wireless #headphones #headset for Cardio #Training #Amazon #Deals https://t.c_—_,7.30E+17,36,16,0,No,"Seattle, WA",0,Rise
8/5/16,@Huudxi__Xaohno,Corner Sofa Bed couch in Cream / Beige Faux Suede either left and right handed - Bid Now!_—_ https://t.co/OfQ5BgTloy https://t.co/fsO9SBjB1M,7.30E+17,431,0,0,No,New York,10,Rise
