Date,Screen Name,Tweet Text,Tweet ID,Followers,Retweets,Favorites,Verfied,Location
8/5/16,@ms5ft9,Why am I up ?,7.29551E+17,159,0,0,No,NYC
8/5/16,@Ruifsu__Baegnu,NEW 8.5 X 18 Enclosed Tail Gate BBQ Bar-B-Q Competition Food Concession Trailer - Bid Now!â€_ https://t.co/7ied5sX8FV https://t.co/d4BPejvqpM,7.29551E+17,72,0,0,No,"New York, USA"
8/5/16,@MetaverseCoffee,Metaverse #Coffee : _Ÿçµ_Ÿç© _Ÿ“– Mon macchiato & ma lecture du moment. #anticaferepublique#anticafeparis#coworkingspace#monâ€_ https://t.co/ZWwY9ZHfyp,7.29551E+17,599,0,0,No,"Manhattan, NY"
8/5/16,@MarileeHilde,(video) Webcam Nerdy Girl https://t.co/PMVPKWor1M #nerdyFuck #teenpics #nsfw #pornpics https://t.co/hidJMGqEVh https://t.co/ZriI7SWPdz,7.29551E+17,403,0,0,No,"Bronx, NY"
8/5/16,@Xoenpo__Zeewye,NWT La Vie Parisienne/Catherine Popesco Gold Multi-Strand Beaded Bracelet 1745G - Bid Now!â€_ https://t.co/p8zM2dISCi https://t.co/zdYCf1dL8S,7.29551E+17,47,0,0,No,"New York, USA"
8/5/16,@Huudxi__Xaohno,DFS Dark And Light Brown Large Corner Sofa + 9 Pillows Low Back Martinez - Bid Now! Only $â€_ https://t.co/NhHEE6hgdY https://t.co/X9WBVdADXC,7.29551E+17,431,0,0,No,New York
8/5/16,@DynastyTheKing,All i want is you! _Ÿ__ã_—ï¸èã_™ï¸è_Ÿ‰ê_Ÿˆµ @ EastNY Brooklyn https://t.co/r9Rk6ldSxf,7.29551E+17,14106,0,0,No,"New York, NY"
8/5/16,@Kaefxo__Baustu,3 Meter Mini DisplayPort to HDMI Cable for MacBook Pro 15inch Dell XPS 17 15 14 - Bid Now!â€_ https://t.co/dBVEdLSSYr https://t.co/ZcFVFEq6bX,7.29551E+17,49,0,0,No,"New York, USA"
8/5/16,@gpswatchreview1,Garmin Vivoactive - one of the best GPS watches around no matter what your #sport. Check out our #review! https://t.co/VoPXMXlRDW #runchat,7.29551E+17,86,0,1,No,"New York, USA"
8/5/16,@Huudxi__Xaohno,SAILOR DRESS ALPACA JACKET NORWEGIAN NAVY STYLE - KAWAII MORI GIRL ala LIZ LISA - Bid Now!â€_ https://t.co/kHX40cJHPX https://t.co/Xa6I020gF7,7.29551E+17,431,0,0,No,New York
