5/9/16,@eleerijamiliea,RT @hakims55: He deserve all the respect. https://t.co/utrfYpR5v9,7.30E+17,165,34475,0,La La Land,No
5/9/16,@akintosh,@CelineBulaong basta wag lang si B.,7.30E+17,127,0,0,Singapore,No
5/9/16,@breakingxsticks,@ooobobee when your paper?,7.30E+17,139,0,0,Singapore,No
5/9/16,@FyrizM,RT @tarayquen: Sa fandom din ito nanggaling ang isusulat nila..Awwwwww . #DolceAmoreOneCallAway,7.30E+17,2056,14,0,Biliran Prov. and Makati City,No
5/9/16,@kshndrh,"My body finally shut down.. The 3 basic disease taking over.. Haha... Cough, fever, running nose.. Hahah!_™ÈÜ",7.30E+17,55,0,0,Singapore,No
5/9/16,@fhxmc,@irnikapoor free?,7.30E+17,257,0,0,Singapore,No
5/9/16,@rajprasadnaidu,@ShaalV CB dey I sot.,7.30E+17,1034,0,0,Singapore,No
5/9/16,@hahaheeheehoho_,AYYYYYY _™_–_™È‘_™ @ Temasek Polytechnic https://t.co/pWB9umNYIT,7.30E+17,227,0,0,,No
5/9/16,@lucillelucylucy,Binoto ko si Leni para sa transportation #LeniIsMyVP #BinotoKoSiLeni,7.30E+17,7,0,0,Singapore,No
5/9/16,@altrex_22,This is so cute... https://t.co/pti6HORvhS,7.30E+17,42,0,0,Singapore,No
5/9/16,@gabymooma,RT @joseph_elbert: #PHVote SMILE muna! Samahang Miriam-Leni #MIRIAMforPRESIDENT #LeniIsMyVP,7.30E+17,244,2,0,"National Capital Region, Repub",No
5/9/16,@nikaelarandi,"RT @Medyomaldito: Luoy kaayo ang Pilipinas kung naay mag cheat. Kay if naay mag cheat, naay mag reklamo then mo gubot ang Pilipinas. Then mŠ—_",7.30E+17,2405,308,0,honeymoon ’£ve.,No
5/9/16,@AdysssID,"RT @MerryRiana: Sering kita kehilangan banyak sekali KESEMPATAN hanya karena kita ""tidak siap"". #MR",7.30E+17,889,50,0,"Aceh, Indonesia",No
